team_id,name,short_name,state,stadium_name,stadium_capacity,latitude,longitude
388,Jorge Wilstermann,,,,,,
389,Banfield,,,,,,
390,Colo Colo,,,,,,
391,Deportivo Cali,,,,,,
392,Tacuary,,,,,,
393,Atlético Palmaflor,,,,,,
394,Águilas Doradas,,,,,,
395,Cesar Vallejo,,,,,,
396,Deportivo Binacional,,,,,,
397,Emelec,,,,,,
398,Newells Old Boys,,,,,,
399,Gimnasia L.P.,,,,,,
400,Magallanes,,,,,,
401,Patronato,,,,,,
402,Real Tomayapo,,,,,,
403,Alianza Valledupar,,,,,,
404,Rayo Zuliano,,,,,,
405,Sport Huancayo,,,,,,
406,Tecnico Universitario,,,,,,
407,Belgrano Cordoba,,,,,,
408,Deportivo Lara,,,,,,
409,Plaza Colonia,,,,,,
410,Colon Santa Fe,,,,,,
411,Talleres Cordoba,,,,,,
412,Velez Sarsfield,,,,,,
413,El Nacional,,,,,,
414,Zamora FC,,,,,,
415,Curico Unido,,,,,,
416,Deportivo Maldonado,,,,,,
417,Deportivo Pereira,,,,,,
418,Portuguesa FC,,,,,,
419,Qatar,,,,,,
420,Ecuador,,,,,,
421,England,,,,,,
422,Iran,,,,,,
423,Senegal,,,,,,
424,Netherlands,,,,,,
425,USA,,,,,,
426,Wales,,,,,,
427,Argentina,,,,,,
428,Saudi Arabia,,,,,,
429,Denmark,,,,,,
430,Tunisia,,,,,,
431,Mexico,,,,,,
432,Poland,,,,,,
433,France,,,,,,
434,Australia,,,,,,
435,Morocco,,,,,,
436,Croatia,,,,,,
437,Germany,,,,,,
438,Japan,,,,,,
439,Spain,,,,,,
440,Costa Rica,,,,,,
441,Belgium,,,,,,
442,Canada,,,,,,
443,Switzerland,,,,,,
444,Cameroon,,,,,,
445,Uruguay,,,,,,
446,South Korea,,,,,,
447,Portugal,,,,,,
448,Ghana,,,,,,
449,Brazil,,,,,,
450,Serbia,,,,,,
451,South Africa,,,,,,
452,Czech Republic,,,,,,
453,Bosnia & Herzegovina,,,,,,
454,Paraguay,,,,,,
455,Haiti,,,,,,
456,Scotland,,,,,,
457,Türkiye,,,,,,
458,Curaçao,,,,,,
459,Ivory Coast,,,,,,
460,Sweden,,,,,,
461,Cape Verde Islands,,,,,,
462,Egypt,,,,,,
463,New Zealand,,,,,,
464,Iraq,,,,,,
465,Norway,,,,,,
466,Algeria,,,,,,
467,Austria,,,,,,
468,Jordan,,,,,,
469,Congo DR,,,,,,
470,Panama,,,,,,
471,Uzbekistan,,,,,,
472,Colombia,,,,,,
473,La Fiorita,,,,,,
474,Inter Club d'Escaldes,,,,,,
475,FC Levadia Tallinn,,,,,,
476,Vikingur Reykjavik,,,,,,
477,Pyunik Yerevan,,,,,,
478,CFR 1907 Cluj,,,,,,
479,Malmo FF,,,,,,
480,Ludogorets,,,,,,
481,Sutjeska,,,,,,
482,Lech Poznan,,,,,,
483,Qarabag,,,,,,
484,The New Saints,,,,,,
485,Linfield,,,,,,
486,Ballkani,,,,,,
487,FK Zalgiris Vilnius,,,,,,
488,Shamrock Rovers,,,,,,
489,Hibernians,,,,,,
490,Shkupi 1927,,,,,,
491,Lincoln Red Imps FC,,,,,,
492,FK Tobol Kostanay,,,,,,
493,Ferencvarosi TC,,,,,,
494,Bodo/Glimt,,,,,,
495,KI Klaksvik,,,,,,
496,HJK Helsinki,,,,,,
497,Rīgas FS,,,,,,
498,F91 Dudelange,,,,,,
499,Tirana,,,,,,
500,Zrinjski,,,,,,
501,Sheriff Tiraspol,,,,,,
502,Maribor,,,,,,
503,Shakhter Soligorsk,,,,,,
504,Slovan Bratislava,,,,,,
505,Dinamo Batumi,,,,,,
506,FC Zurich,,,,,,
507,FC Midtjylland,,,,,,
508,AEK Larnaca,,,,,,
509,Dinamo Zagreb,,,,,,
510,Plzen,,,,,,
511,Maccabi Haifa,,,,,,
512,Olympiakos Piraeus,,,,,,
513,Dynamo Kyiv,,,,,,
514,Fenerbahçe,,,,,,
515,Monaco,,,,,,
516,PSV Eindhoven,,,,,,
517,Union St. Gilloise,,,,,,
518,Rangers,,,,,,
519,Benfica,,,,,,
520,Apollon Limassol,,,,,,
521,Sturm Graz,,,,,,
522,FK Crvena Zvezda,,,,,,
523,FC Copenhagen,,,,,,
524,Trabzonspor,,,,,,
525,Borussia Dortmund,,,,,,
526,Chelsea,,,,,,
527,Paris Saint Germain,,,,,,
528,Juventus,,,,,,
529,RB Leipzig,,,,,,
530,Shakhtar Donetsk,,,,,,
531,Celtic,,,,,,
532,Real Madrid,,,,,,
533,Sevilla,,,,,,
534,Manchester City,,,,,,
535,Red Bull Salzburg,,,,,,
536,AC Milan,,,,,,
537,Eintracht Frankfurt,,,,,,
538,Sporting CP,,,,,,
539,Ajax,,,,,,
540,Tottenham,,,,,,
541,Marseille,,,,,,
542,Napoli,,,,,,
543,Liverpool,,,,,,
544,Inter,,,,,,
545,Bayern Munich,,,,,,
546,Barcelona,,,,,,
547,Atletico Madrid,,,,,,
548,FC Porto,,,,,,
549,Club Brugge KV,,,,,,
550,Bayer Leverkusen,,,,,,
551,Panevėžys,,,,,,
552,Hamrun Spartans,,,,,,
553,Dečić,,,,,,
554,UE Santa Coloma,,,,,,
555,Virtus,,,,,,
556,FCSB,,,,,,
557,Ordabasy,,,,,,
558,Petrocub,,,,,,
559,Flora Tallinn,,,,,,
560,Celje,,,,,,
561,Struga,,,,,,
562,Larne,,,,,,
563,FC Differdange 03,,,,,,
564,Dinamo Minsk,,,,,,
565,Borac Banja Luka,,,,,,
566,Egnatia Rrogozhinë,,,,,,
567,Jagiellonia,,,,,,
568,Apoel Nicosia,,,,,,
569,Maccabi Tel Aviv,,,,,,
570,FK Partizan,,,,,,
571,FC Lugano,,,,,,
572,Sparta Praha,,,,,,
573,PAOK,,,,,,
574,Lille,,,,,,
575,Twente,,,,,,
576,Slavia Praha,,,,,,
577,BSC Young Boys,,,,,,
578,Galatasaray,,,,,,
579,Aston Villa,,,,,,
580,VfB Stuttgart,,,,,,
581,Bologna,,,,,,
582,Girona,,,,,,
583,Feyenoord,,,,,,
584,Stade Brestois 29,,,,,,
585,Atalanta,,,,,,
586,Arsenal,,,,,,
